# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2932
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2932
DATA ascii
-2.82058525 0.32662404 -0.66497278
-2.98968840 0.18471923 -0.65265870
-2.84556007 0.35692802 -0.58234173
-2.71650648 0.60315293 -0.30060351
-2.89347816 0.44568953 -0.34593990
-2.96602416 0.38355863 -0.36106563
-2.70759988 0.84670806 0.06703314
-2.72104669 0.65237898 -0.21806768
-2.35969853 0.73462230 -1.15603983
-2.11332631 0.92349410 -1.34823072
-2.06568146 0.94344503 -1.29302478
-2.33618355 0.71639472 -1.04043853
-2.16469812 0.85553312 -1.17642462
-2.25873899 0.75798821 -0.95958531
-2.48101926 0.60495883 -0.89797109
-2.47208548 0.61549222 -0.69201040
-2.33246660 0.72481579 -0.62969142
-2.67560887 0.56246036 -0.44212660
-2.61299658 0.55722022 -0.53974229
-2.40193033 0.79779828 -0.29090524
-2.33723688 0.76410371 -0.48263797
-2.63358808 0.88833964 0.06571447
-2.62878108 1.02096295 0.25712216
-2.65837193 0.78220963 -0.07437806
-2.60331392 1.03109097 0.25747687
-2.44703412 0.97067314 0.07977921
-1.88248825 1.01273048 -1.27035677
-2.06256056 0.89933658 -1.10853744
-1.83402538 1.00172389 -1.09367085
-1.83396184 1.02851415 -1.23737085
-1.80237508 1.04188144 -1.22821128
-2.08372450 0.86298877 -0.77312630
-1.94008875 0.93737423 -1.00619209
-1.95210040 0.93019587 -0.80057091
-1.97471809 0.92581213 -0.63465530
-1.75359952 1.02692032 -1.00999308
-2.17225575 0.85024399 -0.46928012
-2.16585732 0.85231090 -0.47196540
-2.30151224 0.83428222 -0.34280139
-2.00564885 1.05238819 -0.04263213
-2.26233506 0.92116511 -0.13936205
-1.94940722 0.99087459 -0.34692809
-2.33055735 1.08615208 0.22171037
-2.21332407 1.09773636 0.18694018
-2.40014410 1.20631933 0.45899051
-2.21869159 1.27510667 0.54970336
-2.16053939 1.14916015 0.25811052
-1.31039560 1.23506618 -1.42749989
-1.43394947 1.23140264 -1.49581861
-1.58899331 1.17269671 -1.39846313
-1.49513185 1.12667072 -1.11477661
-1.23028374 1.26930821 -1.49027944
-1.34188652 1.17090249 -1.07588494
-1.44875467 1.11963344 -0.91916168
-1.52546501 1.09762716 -0.98140717
-1.66516149 1.05540216 -0.45179948
-1.55079484 1.09610546 -0.44002131
-1.72285795 1.04143500 -0.42269078
-1.77847171 1.07267880 -0.23406856
-1.64730835 1.09087849 -0.31853136
-1.58616006 1.11121941 -0.29966411
-1.66189146 1.13047421 -0.10077259
-1.63263881 1.11071599 -0.24268132
-1.80841339 1.18193054 0.21559182
-1.97487831 1.17764008 0.26601228
-2.05228806 1.30647469 0.57260633
-2.08092594 1.34469175 0.67523146
-1.85242307 1.28577554 0.48486984
-1.06645143 1.24748361 -1.26589358
-0.99348915 1.28623211 -1.40370131
-1.15946519 1.20014811 -1.08813047
-1.20555437 1.17998898 -0.98858827
-1.33982754 1.14534211 -0.75780106
-1.38942206 1.13724077 -0.75644028
-1.15292633 1.17577338 -0.59601796
-1.08113301 1.18941176 -0.60657877
-1.22861087 1.16205418 -0.52519923
-1.38275361 1.14897192 -0.28220224
-1.60504007 1.15877497 -0.02136918
-1.59665930 1.18680191 0.14823660
-1.43043792 1.20974731 0.18551090
-1.50235665 1.19271088 0.11109566
-1.50146472 1.24393153 0.30617923
-1.65423238 1.28657663 0.46640965
-1.46865511 1.34619248 0.67872983
-1.57198632 1.35560453 0.70023811
-1.40901899 1.31079900 0.53451836
-0.71620029 1.25509131 -1.06478322
-0.78392321 1.23772585 -0.97914922
-0.65946746 1.25701988 -1.05648959
-0.91473734 1.21218181 -0.86142087
-0.76926148 1.22906148 -0.91351986
-0.80033875 1.20716846 -0.62702477
-0.85986966 1.20335197 -0.59875518
-0.81224120 1.20355940 -0.32348084
-0.81383300 1.20360994 -0.45413709
-1.17065263 1.22663724 0.12940125
-1.11699355 1.22172630 0.06216239
-0.84650183 1.23486948 0.19013026
-0.89647543 1.22565436 0.06834365
-1.21111238 1.25560200 0.31350601
-1.32194376 1.31751060 0.57893264
-1.29151237 1.26974940 0.37631714
-1.12556732 1.30155718 0.50409704
-1.02880692 1.29218769 0.48948154
-0.40982008 1.22771358 -0.68235582
-0.22598127 1.22530699 -0.60426354
-0.48668435 1.21879089 -0.62345070
-0.54622352 1.21047521 -0.50466126
-0.45949236 1.20873106 -0.50410372
-0.44411561 1.20140469 -0.23655069
-0.53418553 1.20388651 -0.10871939
-0.70229673 1.21759295 0.00195722
-0.53315026 1.21385109 0.07327630
-0.83872712 1.28882778 0.54414886
-0.81378937 1.24769592 0.29591841
-0.64853567 1.25919390 0.40653229
-0.02304906 1.21615493 -0.36607146
0.11003608 1.20159185 -0.08354893
-0.18432333 1.19280076 -0.24483141
