# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2959
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2959
DATA ascii
-2.74455333 3.25182676 -0.22577260
-2.56020880 3.23433852 -0.32294157
-2.53208542 3.23076391 -0.31507936
-2.49164510 3.22637081 -0.32246923
-2.67099500 3.24228334 -0.20036414
-2.69430017 3.23755622 -0.01273732
-2.52858067 3.21973133 -0.04476921
-2.48565412 3.21312046 -0.00134285
-2.64304328 3.23431230 0.05310959
-2.51570106 3.21784496 0.02289707
-2.66514754 3.24483299 0.20813939
-2.39401698 3.20322466 0.01582653
-2.54645061 3.22732782 0.13783638
-2.57870150 3.24239731 0.38439912
-2.37816691 3.21251154 0.28507698
-2.36759281 3.19993854 0.01353795
-2.75453997 3.26791787 0.45491087
-2.63435197 3.26755261 0.52640063
-2.70311403 3.30831909 0.75855869
-2.70891261 3.27286673 0.51777077
-2.61161685 3.26646376 0.53259051
-2.38925028 3.25643015 0.61395413
-2.44696188 3.27427840 0.69856912
-2.32375383 3.21674752 0.37745312
-2.27606606 3.21167088 -0.36603704
-2.21812177 3.20668149 -0.34681046
-2.20694566 3.20238543 -0.31283310
-2.18910599 3.19219255 -0.23155582
-2.09567904 3.16352367 -0.06707732
-2.26354051 3.19535351 -0.25643820
-2.18820047 3.18282223 -0.21379963
-2.06981373 3.15724134 -0.02549787
-2.04365039 3.14856958 0.08510721
-2.10201216 3.15664983 0.04531810
-2.29897523 3.19784880 0.22113439
-2.01113296 3.14448881 0.08069814
-2.01201391 3.15722132 0.16912064
-2.17218280 3.18503404 0.25608397
-2.03184414 3.16900277 0.24119259
-2.04290080 3.19072676 0.32844678
-1.43327975 2.98379183 0.36542410
-1.46122766 3.00957870 0.69173241
-1.33112121 2.97998309 0.05337763
-1.40255857 3.00795627 0.64263415
-1.40215456 2.97530365 0.74119753
-1.39545262 2.96338344 0.65169287
-1.39727139 2.95078731 0.58698916
-1.41100729 2.94188976 0.57458580
-1.42753255 2.94669676 0.68594700
-1.47721422 2.98409057 0.73897290
-2.92291665 2.19975567 3.31082606
-2.91394114 2.30025649 3.24475241
-2.92893934 2.26312184 3.27224469
-2.70672774 1.61861467 3.56169653
-2.78714228 2.13818550 3.28995132
-2.74418974 1.82015991 3.45872307
-2.95143557 2.42301393 3.18774271
-2.66023374 1.48273599 3.62314415
-2.57645679 1.37760949 3.66452312
-2.61082077 1.61284113 3.53618574
-2.56741428 1.38404298 3.65961266
-2.57755947 1.61441743 3.53062725
-2.50866127 1.52962446 3.56896091
-2.60428214 1.45982528 3.62188649
-2.51088762 1.37274432 3.67263770
-2.53670359 1.26854670 3.74399495
-2.41563201 1.59805250 3.52984834
-2.36764836 1.60745215 3.53345609
-2.33299994 1.66719675 3.49322486
-2.18094587 1.63226056 3.54431963
-2.32004976 1.42819238 3.67841530
-1.86613131 1.72349405 3.54647040
-2.12525582 1.54889524 3.62563229
-1.76965034 1.68185592 3.61415792
-1.96538901 1.70299983 3.53453302
-2.07127523 1.51922917 3.66930628
-1.94330645 1.73847651 3.50920987
-1.59636402 1.74664259 3.60928512
-1.31860328 1.93464184 3.52991796
-2.93649673 2.48102999 3.11967778
-2.98405004 2.59135580 3.05974674
-2.87713647 2.32198787 3.21728516
-2.96857238 2.55028939 3.08476686
-2.74192500 2.37637377 3.06953120
-2.75697875 2.26142025 3.16613388
-2.68821645 2.37331009 3.04213333
-2.77194095 2.51952577 2.97624159
-2.76942992 2.36267591 3.09528399
-2.76853800 2.47136545 3.01133537
-3.01857185 2.76721644 2.92267084
-2.63522744 2.31567359 3.05741429
-2.60462976 2.13847947 3.18583512
-2.55741596 1.87852478 3.37341285
-2.35629845 2.11722159 3.13845062
-2.51037669 2.21475792 3.10137248
-2.49396372 2.14414763 3.14996123
-2.35671043 1.92323744 3.28233790
-2.29724503 2.05498147 3.17108727
-2.49424553 2.23309660 3.08409095
-2.23255420 1.79160535 3.40099359
-2.16761065 1.91615498 3.29562449
-2.30010843 1.72173846 3.45469379
-2.18172383 1.85997748 3.34578800
-2.18100262 1.78894913 3.41243720
-2.06390119 1.86362994 3.36109018
-1.85295308 1.99654055 3.24435163
-2.07935476 1.93678093 3.28698349
