# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2434
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2434
DATA ascii
4.12913322 7.93483686 0.07452528
3.87481737 7.91456413 0.04621822
3.76401854 7.92237139 0.03824324
3.87024331 7.99660778 0.06682099
3.86179829 8.05946159 0.08168808
3.54714584 7.93386412 0.02173193
3.73265243 8.00013256 0.05523852
3.581774 8.08549213 0.06278837
3.69656301 8.12719154 0.08363511
3.39038706 7.99306107 0.02220177
3.57066059 8.10240746 0.06598351
3.43771553 8.09665871 0.05244193
3.17257476 8.04007435 0.01398403
3.14561343 8.14515972 0.03766828
3.1771059 8.28579617 0.07629867
3.00745296 7.98378754 -0.01597912
2.98509812 7.99208784 -0.01588635
3.04733801 8.15377808 0.03079521
2.92623281 8.20903015 0.03368791
2.84434509 8.08177471 -0.00602928
1.65031326 9.32419014 0.08700009
1.81993926 9.22035694 0.07660838
1.64052737 9.25078011 0.06781939
1.63248265 9.21163177 0.05715541
2.08623195 9.21674728 0.09945267
2.14048791 9.15175724 0.08830021
2.00526977 9.15203762 0.07624501
1.93821967 9.06315804 0.04735053
2.13233185 9.11164856 0.07761072
2.06397343 9.04326534 0.05370086
2.44420314 9.00640202 0.07941478
2.27097273 8.95893192 0.05135901
2.2568059 8.71112728 -0.01156504
2.63200283 8.89572716 0.06864697
2.4593904 8.68558884 0.00064342
2.76531482 8.83028316 0.06455396
2.73993564 8.77680874 0.04890729
2.70550632 8.69890404 0.02621696
2.72996688 8.68697071 0.02535245
2.90538311 8.63389397 0.02820291
3.73299241 8.17690372 -0.01084349
4.00111675 8.48365211 0.09032189
3.88325524 8.48774719 0.08070989
3.73944378 8.2189827 0.0002727
3.69630027 8.24354553 0.00249256
3.5406909 8.36800003 0.01920455
3.66060758 8.46285534 0.05387942
3.55148768 8.42933369 0.03555257
3.5252974 8.50941277 0.05326398
3.53733087 8.52745819 0.05888593
3.29998326 8.27159595 -0.02695807
3.26893854 8.59137917 0.05058037
3.24165487 8.62114811 0.05540079
3.0422864 8.35113907 -0.03068562
